"","Grant Number","ZipFilter","MarketShare","value","Tx","Year","None","MCR","COM","MCD","Total","Sites","Att","ID","Expandor","SwitchEMR","eScripts","eDecisionSupport","InterOrgHITexchange","PatientPortals","UDSQualRep","UDSQualRep.levels","UDSQualRep.highlowuse","FirstSwitch","IMM2yo","Pap","ChildBMI","AdultBMI","Tobac","CRC","DepScrn","IMM2yo.denom","Pap.denom","ChildBMI.denom","AdultBMI.denom","Tobac.denom","CRC.denom","DepScrn.denom","TotalAccess","Zips","l.Sites","l.Total","Pct.NHA","Pct.NHB","Pct.HL","Pct.NHW","Pct.ESL","Pct.LessThan100pctFPL","Pct.LessThan200pctFPL","Pct.FarmWorker","Pct.Homeless","Pct.Children","TotalDeliveries","BirthsLT1500","Births1500to2499","BirthsGTE2500","TotalHTN","Sample","Controlcount","Pct.HBW","Pct.HTN.CNTRL","EIN","Unrestricted surplus (deficit) before depreciation","Surplus as a pct of before dep expenses","Unrestricted surplus (deficit) after depreciation","Surplus as a pct of after dep expenses","Total revenue (unrestricted & restricted)","Total revenue, pct change over prior year","Program services revenue","Membership dues","Investment income","Government grants","All other grants and contributions","Other revenue","Total expenses before depreciation","Total expenses, pct change over prior year","Personnel","Professional Fees","Occupancy","Interest","Pass-Through","All other expenses","Total Expenses(after depreciation)","One Month of Savings","Debt Principal Payment","Fixed Asset Additions","Total Full Costs(estimated)","Months of cash","Months of cash and investments","Months of estimated liquid unrestricted net assets","Cash","Investments","Receivables","Gross land, buildings and equipment (LBE)","Accumulated depreciation (pct of LBE)","Liabilities (as pct of assets)","Unrestricted net assets","Temporarily restricted net assets","Permanently restricted net assets","Total restricted net assets","Total net assets","Liabilities","Staffing","LBE.pct","Qcomp","CostOfCare","Liquidity","Profitability","Efficiency","NetWorth","Altmans.Z"
"1","H80CS00030",1,0.468160474503666,1,0,2015,15.6699011009517,7.02089942153387,7.46407911923866,69.8451203582758,21436,6,0,1,0,0,100,100,100,100,"We use the EHR in combination with another data analytic system",3,100,NA,68.57,54.29,28.57,72.6,85.71,28.57,65.71,392,4820,3965,10164,9013,3041,8010,230,3,1.79175946922805,9.97282703061474,6.73166635566337,30.5747340921814,14.9001679417802,33.3177831685016,12.1944392610562,79.7291618024749,96.824655615223,0.741742862474342,12.0125023325247,43.049076320209,401,0,38,365,2051,2051,1204,91.0224438902743,58.7030716723549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7171428571428,NA,NA,NA,NA,NA,NA
"2","H80CS00030",1,0.468160474503666,1,0,2016,15.1163778457356,6.58341828066599,10.1597009853891,68.1405028882093,23544,10,0,1,0,0,100,100,100,100,"We use the EHR in combination with another data analytic system",3,100,NA,35.15,50.6,28.7,61.98,41.11,12.86,81.51,404,5217,5847,10743,9229,3134,10383,395,3,2.30258509299405,10.0666262899133,6.855249745158,32.9383282364934,14.2711518858308,30.903839619436,16.1612300373768,76.934065443507,95.9466095263604,0.764525993883792,10.1427115188583,42.5756031260618,361,8,36,322,2437,2437,1364,89.196675900277,55.9704554780468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5585714285714,NA,NA,NA,NA,NA,NA
"3","H80CS00030",1,0.468160474503666,1,0,2017,11.4668098641001,8.52988557974307,9.85170804246355,70.1515965136933,24209,9,0,1,0,0,100,100,100,100,"We use the EHR in combination with another data analytic system",3,100,NA,31.78,56.95,46.23,64.83,90.17,36.01,72.41,450,5133,4956,11989,8981,3741,11721,380,3,2.19722457733622,10.0944797438333,6.53475980007435,32.6614069147838,14.1021933991491,31.8972283035235,15.4240158618696,75.2616279069767,95.2408637873754,0.735263744888265,9.54603659795944,40.0140443636664,254,1,12,232,3022,3022,1596,91.3385826771654,52.8127068166777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9114285714286,NA,NA,NA,NA,NA,NA
"4","H80CS00030",1,0.468160474503666,1,0,2018,11.7446072781163,8.78478511444097,11.2876667215544,68.1829408858884,24292,9,0,1,0,0,100,100,100,100,"We use the EHR in combination with another data analytic system",3,100,NA,26.29,58.5,49.55,69.75,84.05,33.3,62.65,369,5528,4670,12362,9757,3748,11821,376,3,2.19722457733622,10.0979023570175,5.70558208463692,30.4421208628355,13.0577968055327,29.0548328667874,14.2186728140952,72.1725451233648,93.9186951482033,0.518689280421538,9.5298863823481,37.4732422196608,319,9,25,286,2801,2801,1484,89.6551724137931,52.981078186362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.87,NA,NA,NA,NA,NA,NA
"5","H80CS00030",1,0.468160474503666,1,0,2019,14.2453919514177,10.0842492409015,9.51973656074926,66.1506222469315,23383,12,0,1,0,0,100,100,100,100,"We use the EHR in combination with another data analytic system",3,100,NA,15.94,59.47,52.51,71.63,85.21,37.18,54.74,345,5218,4639,11669,9197,3706,10997,490,3,2.484906649788,10.0597645415934,5.20035923534191,27.2206303724928,11.5169139973485,24.2825984689732,14.3180943420434,71.0432351043235,93.6330393633039,0.632938459564641,9.99444040542274,37.4374545610059,340,4,24,313,2965,2965,1684,92.0588235294118,56.7959527824621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8114285714286,NA,NA,NA,NA,NA,NA
"6","H80CS00030",1,0.468160474503666,1,0,2020,12.294299354114,10.6374613872508,11.1934849761303,64.0269587194608,17805,11,0,1,0,0,NA,NA,100,NA,"We use the EHR in combination with another data analytic system",3,100,NA,19.48,56.04,49.58,55.97,84.7,37.07,37.3,308,4131,3060,8972,6104,3094,8660,452,3,2.39789527279837,9.78723459571188,6.36251817063625,33.8141563233814,13.9270938163927,35.5417645085542,12.9822207312982,72.6918955501664,93.2265523659128,0.564687465056469,12.629989936263,32.0026836632003,274,NA,25,248,2777,2777,1268,90.5109489051095,45.6607850198055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5914285714286,NA,NA,NA,NA,NA,NA
"7","H80CS00035",1,0.150191860779333,1,0,2015,34.75250064119,2.56476019492177,1.25673249551167,61.4260066683765,3899,10,0,2,0,100,100,100,100,100,"We use the EHR in combination with another data analytic system",3,100,2015,50,21.43,19.18,34.29,75.71,24.29,67.14,6,654,73,1594,1024,467,1630,132,4,2.30258509299405,8.2684753889826,2.48781738907412,14.1574762759682,19.6204154911516,55.3218774044627,13.1315721979995,86.2950058072009,98.1416957026713,0,26.853039240831,3.4624262631444,2,0,0,2,143,70,39,100,55.7142857142857,"39-1200636",685594,17.2,596159,0.146,4669420,0.073,0.217,0,0,0.74,0.05,-0.008,3983943,0.153,0.725,0.046,0.016,0,0,0.213,4073378,331995.25,0,0,4405373.25,4.2,5.5,8.6,1404341,421708,1834210,1118661,0.744,10.7,3146014,172887,250000,422887,3568901,381872.407,2888358.675,0.31344691264902,41.72,1021.78584252372,0.74680074159015,0.124747641726583,0.143437638629649,0.0834579439252336,6.35722194957278
"8","H80CS00035",1,0.150191860779333,1,0,2016,45.649400357234,9.82393467721358,0.12758356723654,44.3990813983159,3919,11,0,2,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,2015,0,45.39,60.61,62.57,89.55,18.15,84.29,2,868,66,1905,2077,518,2049,172,4,2.39789527279837,8.27359179819963,2.16892064302118,14.3659096708344,27.2008165348303,47.4866037254402,25.184996172493,82.928699207769,99.2844364937388,0,30.6710895636642,3.41923960193927,3,0,0,3,210,210,116,100,55.2380952380952,"39-1200636",696464,16.8,593319,0.14,4833376,0.035,0.218,0,0,0.739,0.052,-0.009,4136930,0.038,0.718,0.07,0.016,0,0,0.196,4240075,344744.17,0,531569,5116388.17,5,6.3,8.8,1712666,450011,1534900,1650230,0.567,7.3,3739333,201171,250000,451171,4190504,305906.792,2970315.74,0.393802272948552,51.5085714285714,1055.60857361572,0.783592975587937,0.110946225247097,0.130230204642763,0.126986301369863,6.51053720580013
"9","H80CS00035",1,0.150191860779333,1,0,2017,53.9189900052604,10.3892688058916,0.394529195160442,35.2972119936875,3802,11,0,2,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,2015,12.5,48.3,56.06,56.9,89.07,27.98,80.14,8,766,66,1819,1994,461,1949,172,4,2.39789527279837,8.24328252304838,2.39347711730668,15.0710152551289,31.0625986322988,45.7127827459232,30.0368227248816,81.3147668393782,99.449481865285,0,24.1714886901631,3.10362966859548,36,1,4,33,181,181,97,91.6666666666667,53.5911602209945,"39-1200636",2456951,57.1,2190809,0.479,6763057,0.399,0.416,0,0,0.501,0.09,-0.008,4306405,0.041,0.796,0.041,0.017,0,0,0.146,4572547,358867.08,0,0,4931414.08,4.7,6.1,15.1,1674373,512407,4141810,1695662,0.709,6.4,5930142,263268,250000,513268,6443410,412378.24,3427898.38,0.263162207588839,52.9928571428571,1132.6683324566,0.802991979813196,0.273023454397992,0.306153395980086,0.14625,8.3685971698982
"10","H80CS00035",1,0.150191860779333,1,0,2018,55.6088782243551,10.9178164367127,0.689862027594481,32.7834433113377,3334,12,0,2,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,2015,16.67,50.76,33.33,66.27,95.45,27.27,75.59,6,859,63,1951,748,473,1684,212,4,2.484906649788,8.11192806331074,2.15956808638272,12.0575884823035,34.5230953809238,45.6508698260348,30.1739652069586,75.4838709677419,99.4162826420891,0,26.5746850629874,2.96940611877625,11,0,0,11,191,191,106,100,55.4973821989529,"39-1200636",583698,13.5,365908,0.08,4921310,-0.272,0.196,0,0.009,0.653,0.142,0,4331685,0.006,0.773,0.038,0.035,0,0,0.154,4549475,360973.75,0,0,4910448.75,14.5,15.7,16.5,5216437,466120,1061503,1776341,0.799,6.2,6296050,222908,250000,472908,6768958,419675.396,3348392.505,0.262424585881608,52.1914285714286,1299.24565086983,0.794441247542222,0.0429449271225615,0.0692015551850201,0.151290322580645,5.97542433584954
