ProgramType,ActivityCode,GranteeStatus,BHCMISId,grantnumber,BPHCAssignedSiteNumber,SiteName,SiteType,TemporarySiteFlag,SiteStatus,SiteTerminatedDate,SiteLocation,LocationSetting,SiteOpenedDate,SiteEffectiveDate,SiteOperationalByDate,SitePhysicalAddress,PhysicalCongressionalDistrict,ServiceAreaZipCodes,OperatingMonths,TotalWeeklyHoursOfOperation,SiteOperatedBy,NoOfVoucherSites,NoOfIntermittentSites,MedicaidBillingNumber,PhysicalMailStopCode,PhysicalDivisionLine,PhysicalStreetNumber,PhysicalStreetAddress,PhysicalPostOfficeBoxNumber,PhysicalRuralRouteNumber,SitePhysicalCity,SiteState,SiteRegion,SitePhysicalRegion,PhysicalZipCode,PhysicalZip4Code,PhysicalCounty,OrganizationStreetAddress,OrganizationCity,OrganizationState,OrganizationZipCode,OrganizationZip4Code,SiteMailingAddress,MailingMailStopCode,MailingDivisionLine,MailingStreetNumber,MailingStreetAddress,MailingUnit,MailingPostOfficeBoxNumber,MailingRuralRouteNumber,MailingCity,MailingState,MailingZipCode,MailingZip4Code,MailingCongressionalDistrict,OrganizationName,OperatingOrgPhysicalAddress,OperatingOrgMailingAddress,OperatingOrgEIN,ProjectDirector,PDPhone,PDPhoneExtension,PDEmail,SitePhoneExtension,SitePhoneNumber,SiteAdminPhone,SiteAdminPhoneExtension,RelatedARRAGrantsFlag,RelatedARRAGrants,RelatedACAGrantsFlag,RelatedACAGrants,NationalProviderIdentificationNumber,MedicareBillingNumber,MedicareBillingNumberStatus,HRSAAssignedSiteNumber,CalendarSchedule,OperationalSchedule,PopulationType,MedicaidPharmacyBillingNumber,SiteFaxNumber,DUNS,ServiceAreaCensusTracts
Section 330,H80,Inactive,910260,H80CS00877,BPS-H80-006518,SBFHC - CARSON,Service Delivery Site,No,Terminated,1/4/14,Permanent,School,9/1/95,1/1/99,9/1/95,"22320 Main St, Carson, CA 90745",CA-44,90745,NULL,20,Health Center/Applicant,,NULL,1255472924,,,NULL,22320 Main St,NULL,NULL,Carson,CA,Region IX,Region IX,90745,NULL,Los Angeles,23430 HAWTHORNE BLVD STE 210,TORRANCE,CA,90505,4732,"23430 Hawthorne Blvd STE 210, Torrance, CA 90505-4732",NULL,NULL,23430,Hawthorne Blvd,STE 210,NULL,NULL,Torrance,CA,90505,4732,CA-36,SOUTH BAY FAMILY HEALTH CARE CENTER INC,NULL,NULL,NULL,Jann  Hamilton Lee,(310)-802-6177,,jhamiltonlee@sbclinic.org,,(310)-802-6177,(310)-802-6177,,No,N/A,No,N/A,NULL,51048,NULL,8557,Year-Round,Part-Time,Urban,1255472924,(310)-802-6178,151190993,"54,155,416,541,754,200,000"
Section 330,H80,Inactive,53130,H80CS00400,BPS-H80-011921,South Lawndale Clinic,Service Delivery Site,No,Terminated,12/20/16,Permanent,All Other Clinic Types,3/1/12,7/23/12,7/23/12," 1201 South Campbell , Chicago, IL 60608",IL-07,"606,086,062,360,632","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,1201 South Campbell,NULL,NULL,Chicago,IL,Region V,Region V,60608,NULL,Cook,5002 W MADISON ST,CHICAGO,IL,60644,4127,"1201 South Campbell, Chicago, IL 60608-1013",NULL,NULL,1201,South Campbell, ,NULL,NULL,Chicago,IL,60608,1013,NULL,"CIRCLE FAMILY CARE, INC",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(773)-379-1480,(773)-379-1000,NULL,No,N/A,No,N/A,NULL,NULL,NULL,21698,Year-Round,Full-Time,Urban,NULL,NULL,109365106,NULL
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-001106,MT AUBURN HEALTH CENTER,Service Delivery Site,No,Terminated,1/14/14,Permanent,All Other Clinic Types,1/1/68,1/1/68,1/1/68,"2415 AUBURN AVE, CINCINNATI, OH 45219-2701",OH-01,45219,NULL,40,Health Center/Applicant,,NULL,824193,,,NULL,2415 AUBURN AVE,NULL,NULL,CINCINNATI,OH,Region V,Region V,45219,2701,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,"2415 Auburn Ave, Cincinnati, OH 45219-2701",NULL,NULL,2415,Auburn Ave, ,NULL,NULL,Cincinnati,OH,45219,2701,OH-01,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,,(513)-241-4949,(513)-221-4949,,Yes,C81CS14259(Used),No,N/A,NULL,361804,NULL,3944,Year-Round,Full-Time,Urban,2194969,(573)-241-6329,603747341,"10,11,14,15,16,17,18,19,2,21,22,23,3.01,3.02,34,35,36,37,4,43,44,66,67,68,69,8,9"
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-002821,EAST END HEALTH CENTER,Service Delivery Site,No,Terminated,1/14/14,Permanent,All Other Clinic Types,1/1/68,1/1/68,1/1/68,"4027 EASTERN AVE, CINCINNATI, OH 45226-1747",OH-02,45226,NULL,40,Health Center/Applicant,,NULL,863570,,,NULL,4027 EASTERN AVE,NULL,NULL,CINCINNATI,OH,Region V,Region V,45226,1747,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,"2415 Auburn Ave, Cincinnati, OH 45219-2701",NULL,NULL,2415,Auburn Ave, ,NULL,NULL,Cincinnati,OH,45219,2701,OH-01,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,,(513)-321-2202,(513)-221-4949,,Yes,C81CS14259(Used),No,N/A,NULL,361847,NULL,7465,Year-Round,Full-Time,Urban,2194969,(513)-979-2024,603747341,"10,11,14,15,16,17,18,19,2,21,22,23,3.01,3.02,34,35,36,37,4,43,44,66,67,68,69,8,9"
Section 330,H80,Inactive,33620,H80CS00686,BPS-H80-009269,Lancaster Health Center - Water Street,Administrative/Service Delivery Site,No,Terminated,1/15/20,Permanent,All Other Clinic Types,7/27/09,12/9/09,8/2/10,"333 N Arch St, Lancaster, PA 17603-2928",PA-16,"176,011,760,217,603","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",51,Health Center/Applicant,,NULL,1.0073E+12,NULL,NULL,NULL,333 N Arch St,NULL,NULL,Lancaster,PA,Region III,Region III,17603,2928,Lancaster,304 N Water St,Lancaster,PA,17603,    ,"333 N Arch St, Lancaster, PA 17603-2928",NULL,NULL,333,N Arch St, ,NULL,NULL,Lancaster,PA,17603,2928,PA-16,Lancaster Health Center,NULL,NULL,NULL,Alisa  Jones,(717)-945-1551,,Alisa.Jones@unioncomcare.org,NULL,(717)-299-6371,(717)-299-6372,NULL,Yes,C80CS16950(Created),No,N/A,NULL,391014,This site has a Medicare billing number,13823,Year-Round,Full-Time,Urban,1.0073E+12,(717)-397-8881,175530930,NULL
Section 330,H80,Inactive,32580,H80CS00502,BPS-H80-004130,BROWNING FAMILY PRACTICE,Service Delivery Site,No,Terminated,1/16/16,Permanent,All Other Clinic Types,5/22/07,6/1/07,6/1/07,"ROUTE 219, HILLSBORO, WV 24946-0470",WV-03,"2,492,424,927,249,380,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,3810009778,,,NULL,ROUTE 219,NULL,NULL,HILLSBORO,WV,Region III,Region III,24946,470,Greenbrier,8965 Shoestring Trl,Williamsburg,WV,24991,9743,"Post Office Box 470, HILLSBORO, WV 24946-0470",,,NULL,NULL, ,470,,HILLSBORO,WV,24946,470,WV-03,"Northern Greenbrier Health Clinic, Inc.",NULL,NULL,NULL,NULL,NULL,,NULL,,(304)-653-4209,(304)-645-7872,11,Yes,C81CS14271(Created),No,N/A,NULL,51-1928,NULL,8974,Year-Round,Full-Time,Rural,19601001,(304)-653-4233,836073833,"96,029,603"
Section 330,H80,Inactive,515170,H80CS00283,BPS-H80-004447,OAKLAND PRIMARY HEALTH SERVICES,Service Delivery Site,No,Terminated,1/19/17,Permanent,All Other Clinic Types,12/2/02,1/12/02,12/2/02,"46 N Saginaw St, Pontiac, MI 48342-2155",MI-14,"48009,48012,48017,48025,48030,48033,48034,48038,48042,48043,48044,48045,48065,48066,48067,48070,48071,48072,48073,48075,48076,48083,48084,48085,48088,48094,48098,48111,48116,48134,48165,48178,48180,48185,48198,48203,48204,48205,48206,48208,48210,48213,48218,48219,48220,48221,48224,48228,48234,48235,48236,48237,48238,48240,48242,48301,48302,48304,48306,48307,48309,48310,48313,48314,48315,48316,48317,48320,48321,48322,48323,48324,48326,48327,48328,48329,48330,48331,48334,48335,48336,48340,48341,48342,48343,48344,48346,48347,48348,48350,48352,48353,48356,48357,48359,48360,48361,48362,48363,48367,48370,48371,48374,48377,48380,48381,48382,48383,48386,48390,48393,48421,48430,48432,48436,48438,48439,48442,48462,48532,48731,48843,49060","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",50,Health Center/Applicant,,NULL,104632453,,,NULL,46 N Saginaw St,NULL,NULL,Pontiac,MI,Region V,Region V,48342,2155,Oakland,46 N SAGINAW ST,PONTIAC,MI,48342,2155,"46 N Saginaw St, Pontiac, MI 48342-2155",NULL,NULL,46,N Saginaw St, ,NULL,NULL,Pontiac,MI,48342,2155,MI-09,OAKLAND PRIMARY HEALTH SERVICES INC.,NULL,NULL,NULL,Steven  Grant,(248)-857-3252,,sgrant@oaklandphs.org,,(248)-322-6747,(248)-322-6747,,Yes,C81CS13490(Used),No,N/A,,231917,This site has a Medicare billing number,8355,Year-Round,Full-Time,Urban,N/A,(248)-322-5787,140435483,"14,101,411,141,214,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Section 330,H80,Inactive,51440,H80CS00332,BPS-H80-001696,DICKINSON-IRON DENTAL CENTER,Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,1/11/96,1/11/96,1/11/96,"211 S. 4TH STREET STE B, CRYSTAL FALLS, MI 49920-1503",MI-01,"49,801,498,024,981,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",NULL,40,Health Center/Applicant,,NULL,none,,,NULL,211 S. 4TH STREET STE B,NULL,NULL,CRYSTAL FALLS,MI,Region V,Region V,49920,1503,Iron,220 W WASHINGTON ST STE 430,MARQUETTE,MI,49855,4346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"UPPER PENINSULA ASSOCIATION OF RURAL HEALTH SERVICES, INCORPORATED",NULL,NULL,NULL,Donna M Jaksic,(906)-228-3613,,uparhs@ncc-mi.net,,(906)-875-6133,(906)-875-6133,,Yes,C81CS13961(Used),No,N/A,NULL,none,NULL,9182,Year-Round,Full-Time,Rural,none,(906)-875-6742,166925941,"95,019,502"
Section 330,H80,Inactive,51440,H80CS00332,BPS-H80-001849,NORTHERN MENOMINEE HEALTH CENTER,Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,1/8/85,1/8/85,1/8/85,"N16088 BALSAM LANE, SPALDING, MI 49886-0000",MI-01,"498,014,980,249,807,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",43,Health Center/Applicant,,NULL,none,,,NULL,N16088 BALSAM LANE,NULL,NULL,SPALDING,MI,Region V,Region V,49886,0,Menominee,220 W WASHINGTON ST STE 430,MARQUETTE,MI,49855,4346,"Post Office Box 159, Spalding, MI 49886-0159",,,NULL,NULL, ,159,,Spalding,MI,49886,159,MI-01,"UPPER PENINSULA ASSOCIATION OF RURAL HEALTH SERVICES, INCORPORATED",NULL,NULL,NULL,Donna M Jaksic,(906)-228-3613,,uparhs@ncc-mi.net,,(906)-497-5263,(906)-497-5263,,Yes,C81CS13961(Used),No,N/A,NULL,23-1822,NULL,9226,Year-Round,Full-Time,Rural,none,(906)-497-4033,166925941,"960,196,029,603"
Section 330,H80,Inactive,51440,H80CS00332,BPS-H80-003827,EWEN MEDICAL-DENTAL CENTER,Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,1/1/77,1/1/77,1/1/77,"200 S. ELM STREET, EWEN, MI 49925-0000",MI-01,"499,084,991,049,911,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",NULL,40,Health Center/Applicant,,NULL,none,,,NULL,200 S. ELM STREET,NULL,NULL,EWEN,MI,Region V,Region V,49925,0,Ontonagon,220 W WASHINGTON ST STE 430,MARQUETTE,MI,49855,4346,"Post Office Box 260, Ewen, MI 49925-0260",,,NULL,NULL, ,260,,Ewen,MI,49925,260,MI-01,"UPPER PENINSULA ASSOCIATION OF RURAL HEALTH SERVICES, INCORPORATED",NULL,NULL,NULL,Donna M Jaksic,(906)-228-3613,,uparhs@ncc-mi.net,,(906)-988-2210,(906)-988-2210,,Yes,C81CS13961(Used),No,N/A,NULL,23-1823,NULL,7323,Year-Round,Full-Time,Rural,none,(906)-988-2388,166925941,"970,197,029,703"
